Identifier	Name	colname	Synonyms	Action	Clinical.Stage	Putative.Target	Targeted.process.pathway	PubChem_CID	PubChem_SMILES	filename	PubChem	remark
1067	CCT007093	CCT007093		targeted	experimental	PPM1D	other	2314623	C1/C(=C\C2=CC=CS2)/C(=O)/C(=C/C3=CC=CS3)/C1	CCT007093	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/2314623"" target= ""_blank"">PubChem</a>"	Updated
1175	AG-014699	AG-014699	PF-01367338	targeted	experimental	"PARP1, PARP2"	Genome integrity	9931953	CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2.OP(=O)(O)O	AG-014699	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9931953"" target= ""_blank"">PubChem</a>"	
1062	AZD6244	AZD6244	selumetinib	targeted	in clinical development	"MAP2K1 (MEK1), MAP2K2 (MEK2)"	ERK MAPK signaling	10127622	CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO	AZD6244	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10127622"" target= ""_blank"">PubChem</a>"	
1149	TW 37	TW_37		targeted	experimental	"BCL2, BCL2L1"	apoptosis regulation	11455910	CC(C)C1=CC=CC=C1CC2=CC(=C(C(=C2O)O)O)C(=O)NC3=CC=C(C=C3)S(=O)(=O)C4=CC=CC=C4C(C)(C)C	TW_37	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11455910"" target= ""_blank"">PubChem</a>"	Compound not found
1261	rTRAIL	rTRAIL		targeted	experimental	"TR10A (DR4),  TR10B (DR5)"	apoptosis regulation	NA	NA	rTRAIL	NA	
1268	XAV 939	XAV_939	NVP-XAV939	targeted	experimental	TNKS1 (tankyrase-1)	WNT signaling	135418940	C1CSCC2=C1N=C(NC2=O)C3=CC=C(C=C3)C(F)(F)F	XAV_939	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/135418940 "" target= ""_blank"">PubChem</a>"	
1133	JNJ-26854165	JNJ-26854165	Serdemetan	targeted	in clinical development	MDM2	p53 pathway	11609586	C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4	JNJ-26854165	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11609586"" target= ""_blank"">PubChem</a>"	
1371	PLX4720 (rescreen)	PLX4720_(rescreen)	"Vemurafenib analog, Zelboraf (derivative)"	targeted	experimental	BRAF	ERK MAPK signaling	24180719	CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F	PLX4720_(rescreen)	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/24180719"" target= ""_blank"">PubChem</a>"	
273	CUDC-101	CUDC-101		targeted	in clinical development	"HDAC, EGFR"	chromain  histone acetylation	24756910	COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)C#C)OCCCCCCC(=O)NO	CUDC-101	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/24756910"" target= ""_blank"">PubChem</a>"	
346	THZ-2-102-1	THZ-2-102-1		targeted	experimental	CDK7	cell cycle	NA	NA	THZ-2-102-1	NA	Compound not found
1242	(5Z)-7-Oxozeaenol	(5Z)-7-Oxozeaenol		targeted	experimental	MAP3K7 (TAK1)	other	9863776	C[C@H]1C/C=C\C(=O)[C@H]([C@H](C/C=C/C2=C(C(=CC(=C2)OC)O)C(=O)O1)O)O	(5Z)-7-Oxozeaenol	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9863776"" target= ""_blank"">PubChem</a>"	
163	JQ1	JQ1		targeted	experimental	BRD4	chromatin  other	46907787	CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C	JQ1	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/46907787"" target= ""_blank"">PubChem</a>"	
154	CHIR-99021	CHIR-99021	CT 99021	targeted	experimental	GSK3B	WNT signaling	9956119	CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N	CHIR-99021	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9956119"" target= ""_blank"">PubChem</a>"	
1259	BMN-673	BMN-673	Talazoparib	targeted	experimental	PARP1	Genome integrity	135565082	CN1C(=NC=N1)[C@@H]2[C@H](NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F	BMN-673	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/135565082  "" target= ""_blank"">PubChem</a>"	Updated
1377	Afatinib (rescreen)	Afatinib_(rescreen)	"Gilotrif, BIBW2992, Tovok"	targeted	clinically approved	"ERBB2, EGFR"	EGFR signaling	10184653	CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4	Afatinib_(rescreen)	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10184653"" target= ""_blank"">PubChem</a>"	
1262	UNC1215	UNC1215		targeted	experimental	LMBL3	other	57339144	C1CCN(C1)C2CCN(CC2)C(=O)C3=CC(=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)NC6=CC=CC=C6	UNC1215	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/57339144"" target= ""_blank"">PubChem</a>"	Compound not found
1264	SGC0946	SGC0946		targeted	experimental	Q8TEK3 (DOT1L)	chromatin  histone methylation	56962337	CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)C[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O	SGC0946	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/56962337"" target= ""_blank"">PubChem</a>"	
1375	Temozolomide	Temozolomide	Temodar	cytotoxic	clinically approved	DNA akylating agent	DNA replication	5394	CN1C(=O)N2C=NC(=C2N=N1)C(=O)N	Temozolomide	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5394"" target= ""_blank"">PubChem</a>"	
226	GSK1070916	GSK1070916		targeted	in clinical development	AURKB	mitosis	46885626	CCN1C=C(C(=N1)C2=CC=C(C=C2)NC(=O)N(C)C)C3=C4C=C(NC4=NC=C3)C5=CC=CC(=C5)CN(C)C	GSK1070916	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/46885626"" target= ""_blank"">PubChem</a>"	
274	Belinostat	"PXD101,_Belinostat"	PXD101	targeted	clinically approved	HDAC	chromain  histone acetylation	6918638	C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)/C=C/C(=O)NO	"PXD101,_Belinostat"	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/6918638"" target= ""_blank"">PubChem</a>"	
1129	PF-4708671	PF-4708671		targeted	experimental	RPS6KB1 (p70S6KA)	TOR signaling	51371303	CCC1=CN=CN=C1N2CCN(CC2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F	PF-4708671	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/51371303"" target= ""_blank"">PubChem</a>"	
1495	Olaparib	Olaparib_(rescreen)	"Lynparza, KU0059436, AZD-2281"	targeted	clinically approved	"PARP1, PARP2"	Genome integrity	23725625	C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F	Olaparib_(rescreen)	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/23725625"" target= ""_blank"">PubChem</a>"	
268	YM155	YM155	Sepantronium bromide	targeted	in clinical development	BIRC5 (Survivin)	apoptosis regulation	11178236	CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4.[Br-]	YM155	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11178236"" target= ""_blank"">PubChem</a>"	
1248	FK866	FK866	APO866	targeted	experimental	NAMPT	metabolism	6914657	C1CN(CCC1CCCCNC(=O)/C=C/C2=CN=CC=C2)C(=O)C3=CC=CC=C3	FK866	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/6914657"" target= ""_blank"">PubChem</a>"	Compound not found.
156	AZD6482	AZD6482	KIN001-193	targeted	in clinical development	PI3Kbeta	PI3K signaling	44137675	CC1=CN2C(=O)C=C(N=C2C(=C1)[C@@H](C)NC3=CC=CC=C3C(=O)O)N4CCOCC4	AZD6482	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/44137675"" target= ""_blank"">PubChem</a>"	
134	Etoposide	Etoposide	Etophophos	cytotoxic	clinically approved	TOP2	DNA replication	36462	C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O	Etoposide	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/36462"" target= ""_blank"">PubChem</a>"	
140	Vinorelbine	Vinorelbine	Navelbine	cytotoxic	clinically approved	Microtubules	cytoskeleton	5311497	CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC	Vinorelbine	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5311497"" target= ""_blank"">PubChem</a>"	
153	Midostaurin	Midostaurin	PKC 412	targeted	in clinical development	KIT	RTK signaling	9829523	C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)C9=CC=CC=C9)OC	Midostaurin	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9829523"" target= ""_blank"">PubChem</a>"	
1170	CCT018159	CCT018159		targeted	experimental	HSP90	other	984170	CCC1=CC(=C(C=C1O)O)C2=NNC(=C2C3=CC4=C(C=C3)OCCO4)C	CCT018159	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/984170"" target= ""_blank"">PubChem</a>"	Updated
155	AP-24534	AP-24534	"Ponatinib, KIN001-192"	targeted	in clinical development	ABL	ABL signaling	24826799	CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5	AP-24534	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/24826799"" target= ""_blank"">PubChem</a>"	
157	JNK-9L	JNK-9L	KIN001-204	targeted	experimental	JNK	JNK and p38 signaling	146156476	C1COCCN1C2=CC(=CC(=C2)C3=NC(=NC=C3)NC4=CC=C(C=C4)N5C=NC(=N5)N6CCOCC6)F	JNK-9L	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/146156476"" target= ""_blank"">PubChem</a>"	
163	JQ1	JQ1		targeted	experimental	BRD4	chromatin  other	46907787	CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C	JQ1	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/46907787"" target= ""_blank"">PubChem</a>"	
166	FTI-277	FTI-277		targeted	experimental	Farnesyl transferase (FNTA)	other	3005532	COC(=O)[C@H](CCSC)NC(=O)C1=C(C=C(C=C1)NC[C@H](CS)N)C2=CC=CC=C2	FTI-277	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/3005532"" target= ""_blank"">PubChem</a>"	
1372	Trametinib	Trametinib	"Mekinist, GSK1120212"	targeted	clinically approved	"MAP2K1 (MEK1), MAP2K2 (MEK2)"	ERK MAPK signaling	11707110	CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5	Trametinib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11707110"" target= ""_blank"">PubChem</a>"	
154	CHIR-99021	CHIR-99021	CT 99021	targeted	experimental	GSK3B	WNT signaling	9956119	CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N	CHIR-99021	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9956119"" target= ""_blank"">PubChem</a>"	
170	Shikonin	Shikonin		not defined	in clinical development	unknown	other	479503	CC(=CC[C@H](C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C	Shikonin	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/479503"" target= ""_blank"">PubChem</a>"	Updated
171	AKT inhibitor VIII	AKT_inhibitor_VIII		targeted	in clinical development	"AKT1, AKT2, AKT3"	PI3K signaling	135398501	C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=C(C=C4)C5=C(N=C6C=C7C(=NC=N7)C=C6N5)C8=CC=CC=C8	AKT_inhibitor_VIII	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/ 135398501  "" target= ""_blank"">PubChem</a>"	
147	NSC-87877	NSC-87877		targeted	experimental	"PTPN6 (SHP-1), PTPN11 (SHP-2)"	other	92577	C1=CC2=C(C=C(C(=C2N=C1)O)N=NC3=CC4=C(C=C3)C=C(C=C4)S(=O)(=O)O)S(=O)(=O)O	NSC-87877	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/ 92577"" target= ""_blank"">PubChem</a>"	Updated
156	AZD6482	AZD6482	KIN001-193	targeted	in clinical development	PI3Kbeta	PI3K signaling	44137675	CC1=CN2C(=O)C=C(N=C2C(=C1)[C@@H](C)NC3=CC=CC=C3C(=O)O)N4CCOCC4	AZD6482	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/44137675"" target= ""_blank"">PubChem</a>"	
159	HG-6-64-1	HG-6-64-1	KIN001-206	targeted	experimental	"BRAFV600E, TAK, MAP4K5"	ERK MAPK signaling	53302361	CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)C3=CC(=C(C=C3)C)/C=C/C4=CN=C5C(=C4OC)C=CN5)C(F)(F)F	HG-6-64-1	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/53302361"" target= ""_blank"">PubChem</a>"	
165	DMOG	DMOG	Dimethyloxalylglcine	targeted	experimental	Prolyl-4-Hydroxylase	other	560326	COC(=O)CNC(=O)C(=O)OC	DMOG	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/560326"" target= ""_blank"">PubChem</a>"	
164	JQ12	JQ12		targeted	experimental	HDAC	chromain  histone acetylation	NA	NA	JQ12	NA	Compound not found
136	Mitomycin C	Mitomycin_C	"Mytozytrex,NSC-26980"	cytotoxic	clinically approved	DNA crosslinker	DNA replication	5746	CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N	Mitomycin_C	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5746"" target= ""_blank"">PubChem</a>"	
172	Embelin	Embelin		targeted	in clinical development	XIAP	apoptosis regulation	3218	CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O	Embelin	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/3218"" target= ""_blank"">PubChem</a>"	
200	LAQ824	LAQ824	"Dacinostat, NVP-LAQ824"	targeted	in clinical development	HDAC	chromain  histone acetylation	6445533	C1=CC=C2C(=C1)C(=CN2)CCN(CCO)CC3=CC=C(C=C3)/C=C/C(=O)NO	LAQ824	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/6445533"" target= ""_blank"">PubChem</a>"	
133	Doxorubicin	Doxorubicin	"Adriamycin, Doxil,Rubex"	cytotoxic	clinically approved	DNA intercalating	DNA replication	31703	C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O	Doxorubicin	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/31703"" target= ""_blank"">PubChem</a>"	
151	QS11	QS11		targeted	experimental	ARFGAP	other	42623900	C1CC2=C(C1)C=C(C=C2)OC3=NC(=C4C(=N3)N(C=N4)CC5=CC=C(C=C5)C6=CC=CC=C6)N[C@@H](CC7=CC=CC=C7)CO	QS11	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/42623900"" target= ""_blank"">PubChem</a>"	Updated
201	Epothilone B	Epothilone_B	"GNF-PF-193, EPO906, Patupilone"	cytotoxic	in clinical development	Microtubules	cytoskeleton	448013	C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C)C	Epothilone_B	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/448013"" target= ""_blank"">PubChem</a>"	
202	GSK-1904529A	GSK-1904529A		targeted	experimental	IGF1R	IGFR signaling	25124816	CCC1=CC(=C(C=C1N2CCC(CC2)N3CCN(CC3)S(=O)(=O)C)OC)NC4=NC=CC(=N4)C5=C(N=C6N5C=CC=C6)C7=CC(=C(C=C7)OC)C(=O)NC8=C(C=CC=C8F)F	GSK-1904529A	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/25124816"" target= ""_blank"">PubChem</a>"	
150	Bicalutamide	Bicalutamide	"Casodex, ICI-176334"	targeted	clinically approved	ANDR (androgen receptor)	other	2375	CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O	Bicalutamide	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/2375"" target= ""_blank"">PubChem</a>"	
167	OSU-03012	OSU-03012	AR-12	targeted	experimental	PDPK1 (PDK1)	PI3K signaling	10027278	C1=CC=C2C(=C1)C=CC3=C2C=CC(=C3)C4=CC(=NN4C5=CC=C(C=C5)NC(=O)CN)C(F)(F)F	OSU-03012	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10027278"" target= ""_blank"">PubChem</a>"	
176	IPA-3	IPA-3		targeted	experimental	"PAK1, PAK2, PAK3"	cytoskeleton	521106	C1=CC=C2C(=C1)C=CC(=C2SSC3=C(C=CC4=CC=CC=C43)O)O	IPA-3	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/521106"" target= ""_blank"">PubChem</a>"	
192	LFM-A13	LFM-A13	DDE-28	targeted	experimental	BTK	other	54676905	C/C(=C(\C#N)/C(=O)NC1=C(C=CC(=C1)Br)Br)/O	LFM-A13	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/54676905"" target= ""_blank"">PubChem</a>"	Updated
1527	GDC0941 (rescreen)	GDC0941_(rescreen)		targeted	in clinical development	PI3K	PI3K signaling	17755052	CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6	GDC0941_(rescreen)	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/17755052"" target= ""_blank"">PubChem</a>"	
204	Tipifarnib	Tipifarnib	"Zarnestra,IND58359,R115777"	targeted	in clinical development	Farnesyl-transferase (FNTA)	other	159324	CN1C=NC=C1[C@@](C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N	Tipifarnib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/159324"" target= ""_blank"">PubChem</a>"	
173	FH535	FH535		not defined	experimental	unknown 	other	3463933	CC1=C(C=CC(=C1)[N+](=O)[O-])NS(=O)(=O)C2=C(C=CC(=C2)Cl)Cl	FH535	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/3463933"" target= ""_blank"">PubChem</a>"	Compound not find
178	BAY 61-3606	BAY_61-3606		targeted	experimental	SYK	other	10200390	COC1=C(C=C(C=C1)C2=CC3=NC=CN3C(=N2)NC4=C(C=CC=N4)C(=O)N)OC	BAY_61-3606	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10200390"" target= ""_blank"">PubChem</a>"	
199	Pazopanib	Pazopanib	"Votrient, GW786034"	targeted	in clinical development	"VEGFR, PDGFRA, PDGFRB, KIT"	RTK signaling	10113978	CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N	Pazopanib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10113978"" target= ""_blank"">PubChem</a>"	
207	AS601245	AS601245		targeted	experimental	JNK 	JNK and p38 signaling	10109823	C1=CC=C2C(=C1)N=C(S2)C(C#N)C3=NC(=NC=C3)NCCC4=CN=CC=C4	AS601245	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10109823"" target= ""_blank"">PubChem</a>"	
184	BMS-754807	BMS-754807		targeted	in clinical development	IGF1R	IGFR signaling	24785538	C[C@]1(CCCN1C2=NN3C=CC=C3C(=N2)NC4=NNC(=C4)C5CC5)C(=O)NC6=CN=C(C=C6)F	BMS-754807	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/24785538"" target= ""_blank"">PubChem</a>"	
185	OSI-906	OSI-906	"Lisitinib, OSI-906"	targeted	in clinical development	IGF1R	IGFR signaling	11640390	CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O	OSI-906	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11640390"" target= ""_blank"">PubChem</a>"	Compound not found
135	Gemcitabine	Gemcitabine	"Gemzar, LY-188011"	cytotoxic	clinically approved	DNA replication	DNA replication	60750	C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F	Gemcitabine	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/60750"" target= ""_blank"">PubChem</a>"	
197	Bryostatin 1	Bryostatin_1	NSC 339555	targeted	in clinical development	PRKC	other	5280757	CCC/C=C/C=C/C(=O)O[C@H]1/C(=C/C(=O)OC)/C[C@H]2C[C@@H](OC(=O)C[C@@H](C[C@@H]3C[C@@H](C([C@@](O3)(C[C@@H]4C/C(=C/C(=O)OC)/C[C@@H](O4)/C=C/C([C@@]1(O2)O)(C)C)O)(C)C)OC(=O)C)O)[C@@H](C)O	Bryostatin_1	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5280757"" target= ""_blank"">PubChem</a>"	
182	Obatoclax Mesylate	Obatoclax_Mesylate	GX15-070	targeted	in clinical development	"BCL2, BCL2L1, MCL1"	apoptosis regulation	16681698	CC1=CC(=C(N1)/C=C\2/C(=C/C(=C/3\C=C4C=CC=CC4=N3)/N2)OC)C.CS(=O)(=O)O 	Obatoclax_Mesylate	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/16681698"" target= ""_blank"">PubChem</a>"	
190	Bleomycin	Bleomycin		cytotoxic	clinically approved	DNA damage	DNA replication	5360373	CC1=C(N=C(N=C1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O	Bleomycin	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5360373"" target= ""_blank"">PubChem</a>"	
158	PF-562271	PF-562271	KIN001-205	targeted	experimental	FAK	cytoskeleton	11713159	CN(C1=C(C=CC=N1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C	PF-562271	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11713159"" target= ""_blank"">PubChem</a>"	
177	GSK-650394	GSK-650394		targeted	experimental	SGK3	other	25022668	C1CCC(C1)C2=C(C=CC(=C2)C3=CNC4=C3C=C(C=N4)C5=CC=CC=C5)C(=O)O	GSK-650394	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/25022668"" target= ""_blank"">PubChem</a>"	
194	AUY922	AUY922	"VER-52296,NVP-AUY922"	targeted	in clinical development	HSP90	other	135539077	CCNC(=O)C1=NOC(=C1C2=CC=C(C=C2)CN3CCOCC3)C4=CC(=C(C=C4O)O)C(C)C	AUY922	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/ 135539077"" target= ""_blank"">PubChem</a>"	Updated
1526	RDEA119 (rescreen)	RDEA119_(rescreen)		targeted	experimental	"MAP2K1 (MEK1), MAP2K2 (MEK2)"	ERK MAPK signaling	44182295	COC1=CC(=C(C(=C1NS(=O)(=O)C2(CC2)C[C@@H](CO)O)NC3=C(C=C(C=C3)I)F)F)F	RDEA119_(rescreen)	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/44182295"" target= ""_blank"">PubChem</a>"	
150	Bicalutamide	Bicalutamide	"Casodex, ICI-176334"	targeted	clinically approved	ANDR (androgen receptor)	other	2375	CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O	Bicalutamide	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/2375"" target= ""_blank"">PubChem</a>"	
175	PAC-1	PAC-1		targeted	in clinical development	CASP3 agonist	apoptosis regulation	135421197	C=CCC1=CC=CC(=CNNC(=O)CN2CCN(CC2)CC3=CC=CC=C3)C1=O	PAC-1	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/135421197"" target= ""_blank"">PubChem</a>"	Updated
186	Bexarotene	Bexarotene	"Targretin, LG-100069,LGD-1069"	targeted	clinically approved	Retinioic acid X family agonist	other	82146	CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C	Bexarotene	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/82146"" target= ""_blank"">PubChem</a>"	
1114	Cetuximab	Cetuximab	Erbitux	targeted	clinically approved	EGFR	EGFR signaling	136170999	CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7.C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O.C1=C(C(=O)NC(=O)N1)	Cetuximab	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/136170999"" target= ""_blank"">PubChem</a>"	Updated
1373	Dabrafenib	Dabrafenib	"Tafinlar, GSK2118436"	targeted	clinically approved	BRAF	ERK MAPK signaling	44462760	CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F	Dabrafenib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/44462760"" target= ""_blank"">PubChem</a>"	
180	Thapsigargin	Thapsigargin		targeted	experimental	sarco-endoplasmic reticulum Ca2+-ATPases	other	446378	CCCCCCCC(=O)O[C@H]1[C@H]2C(=C([C@@H]1OC(=O)/C(=C\C)/C)C)[C@H]3[C@]([C@H](C[C@]2(C)OC(=O)C)OC(=O)CCC)([C@](C(=O)O3)(C)O)O	Thapsigargin	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/446378"" target= ""_blank"">PubChem</a>"	Updated
